Trial,Sat_Config,Total_Rods,Nominal,Reached_Steady_State,Lock_Day,W_Mag(deg/s),Wx,Wy,Wz,q0,q1,q2,q3
109,1U,4,No,Yes,2.535113,21.401118,-0.529529,12.362702,-17.461130,-0.582494,-0.457885,-0.124047,0.660041
110,1U,4,Yes,Yes,0.182455,4.062060,1.649855,-2.987400,2.203124,0.791596,-0.515924,-0.233092,-0.229926
111,1U,4,No,Yes,7.348959,21.425956,-15.992185,-5.999195,12.935659,0.538027,0.676524,0.496981,0.076498
112,1U,4,No,Yes,0.588939,13.127000,1.823924,11.098198,-6.769151,0.829690,-0.409896,0.234640,0.297563
113,1U,4,No,Yes,4.494060,29.819492,-9.976816,28.033960,-1.939669,0.192354,-0.428498,-0.829886,-0.301128
114,1U,4,Yes,Yes,7.636460,5.307119,4.997152,1.786811,-0.035858,0.585964,0.369569,-0.312931,0.649722
115,1U,4,Yes,Yes,6.997712,6.863231,6.059859,-3.200331,0.374076,-0.328891,-0.398948,-0.806412,-0.287004
116,1U,4,No,Yes,3.083034,13.130902,-6.394387,8.135414,-8.083777,0.048207,-0.976166,0.211207,0.012947
117,1U,4,No,Yes,2.535247,15.799389,-4.993587,-11.521723,9.588258,0.414341,-0.375989,0.819871,0.121513
118,1U,4,No,Yes,1.104193,32.992805,3.383811,-22.968745,23.441667,0.545128,-0.228292,0.553586,0.586738
119,1U,4,No,Yes,0.622525,29.674531,-0.207051,-7.058506,28.822082,0.765744,0.212714,0.569141,0.210875
120,1U,4,No,Yes,8.375986,23.728444,5.614091,22.648042,-4.311294,0.675241,-0.223225,0.699936,-0.065646
121,1U,4,Yes,Yes,7.412261,3.896579,-3.194339,-1.862003,-1.229824,-0.855731,0.225341,-0.345027,-0.312893
122,1U,4,Yes,Yes,7.635527,5.494714,2.686049,-4.772877,-0.443480,-0.553723,-0.496134,-0.588035,-0.318521
123,1U,4,No,Yes,8.725591,24.376421,-12.131516,-20.753915,4.038718,0.842027,0.246054,-0.469029,-0.102268
124,1U,4,Yes,Yes,6.097834,3.712272,3.661842,0.532494,-0.297201,-0.305740,0.775513,-0.117786,-0.539656
125,1U,4,No,Yes,6.483348,17.735410,-13.874415,9.034374,-6.358103,-0.361737,-0.904954,0.223548,-0.015206
126,1U,4,Yes,Yes,6.770918,3.681024,-1.987655,-1.862800,-2.475711,-0.757635,0.336756,-0.372649,-0.416793
127,1U,4,No,Yes,8.535237,18.334166,-10.770152,-8.146041,12.401109,-0.693257,0.345269,0.573271,0.267476
128,1U,4,No,Yes,8.695791,30.332296,-16.133480,-14.494372,-21.205476,0.123341,-0.690920,-0.532640,-0.472981
129,1U,4,No,Yes,6.770816,19.968607,-13.293764,5.667292,-13.780526,0.756286,-0.016634,-0.161459,-0.633787
130,1U,4,Yes,Yes,2.469533,4.957059,-1.407981,0.811660,-4.683080,-0.511827,-0.338302,0.625835,0.481576
131,1U,4,No,Yes,5.070767,22.755376,18.892619,-9.330293,8.591956,0.054955,0.397333,0.389377,0.829151
132,1U,4,No,Yes,3.083027,27.331636,-6.831980,22.603408,13.763297,0.870083,0.348667,-0.277190,-0.211076
133,1U,4,No,Yes,0.703903,14.682802,-9.745304,-9.975048,-4.594794,0.194628,-0.746658,-0.056862,0.633552
134,1U,4,No,Yes,8.438236,28.399127,-5.663929,15.363936,23.203012,-0.194512,-0.387154,0.430159,-0.791985
135,1U,4,No,Yes,8.696487,23.146513,-5.909516,-11.367461,19.277435,-0.876981,0.390192,0.256161,-0.114181
136,1U,4,Yes,Yes,2.534980,5.362558,-2.783199,-1.531144,-4.320466,-0.332839,0.688938,-0.532252,0.362339
137,1U,4,No,Yes,1.231527,33.034757,-23.151002,12.672926,19.867643,0.549687,-0.012013,-0.707287,-0.444348
138,1U,4,No,Yes,0.608291,26.226979,5.444823,-6.784404,24.742276,-0.685867,0.187301,0.353295,0.608020
139,1U,4,No,Yes,2.406463,17.183684,4.143877,10.574044,12.895614,-0.102969,0.792607,0.462170,0.384149
140,1U,4,No,Yes,6.035887,26.176693,-15.230669,-10.441909,-18.552965,0.108481,-0.516893,-0.800215,0.284095
141,1U,4,No,Yes,8.534824,32.108492,1.152085,-30.985185,-8.339439,0.803063,0.441086,0.302053,0.263243
142,1U,4,No,Yes,5.520144,31.572153,2.140884,15.042532,27.675616,0.060043,0.641396,0.623479,-0.443034
143,1U,4,No,Yes,6.706428,25.821424,-24.911480,-4.357955,-5.212707,0.737581,-0.445895,0.482554,0.155863
144,1U,4,Yes,Yes,4.396302,3.267042,0.756842,-0.055321,-3.177687,-0.815504,-0.026920,-0.536814,0.214616
145,1U,4,No,Yes,8.087774,9.906468,-7.215098,4.919804,4.677179,-0.250166,0.561755,-0.293754,-0.731817
146,1U,4,No,Yes,0.644672,17.433830,6.940831,-10.993380,-11.615029,-0.376167,-0.469890,0.667344,0.438580
147,1U,4,No,Yes,2.534983,12.834345,4.557064,-10.908045,4.996813,-0.730753,-0.089735,0.232673,0.635461
148,1U,4,No,Yes,0.651644,20.139205,-9.650617,-5.193877,-16.896059,0.110574,-0.403740,-0.511116,0.750685
149,1U,4,No,Yes,8.534522,30.845764,19.460086,14.521432,19.023518,-0.937769,-0.230237,0.192874,0.174299
150,1U,4,No,Yes,7.349188,31.800438,-17.405389,23.175488,13.084993,0.797969,-0.059296,-0.546267,-0.247632
